transaction_line_id,transaction_id,sku_code,quantity,unit_price,discount_amount,tax_amount,line_total,created_at
LINE000000000026,eccd4bfb-f243-45b5-98c8-70fbdfbf94d3,MAC202101-512-GOL,1,1171.01,0.0,117.1,1288.11,2020-09-03
LINE000000000027,ead8968e-0fd7-4ea6-82f5-dcf12ece9340,MAC202101-128-SPA,1,784.69,78.47,70.62,776.84,2017-01-31
LINE000000000028,056289a7-db19-4f80-bf28-0fa36edd446d,MAC202101-256-GOL,1,1321.96,0.0,92.54,1414.5,2019-12-30
LINE000000000029,17d8ac49-6bb0-4f16-9223-2e4d419a8c9d,MAC202101-128-GOL,1,966.52,96.65,60.89,930.76,2023-11-10
LINE000000000030,99e12701-d58c-4545-9ec9-633ea52298f0,IPD202101-512-BLU,1,592.5,59.25,37.33,570.58,2024-10-15
LINE000000000031,ca346dd5-3623-4cfd-885c-dc04a650cf2d,DSP202101-27inch,1,1986.98,99.35,132.13,2019.76,2024-10-30
LINE000000000032,5b4aa7f0-a07d-4bba-ba08-93c4178a17fa,IPD202101-128-BLU,1,578.4,57.84,36.44,557.0,2024-08-16
LINE000000000033,e970ec89-9a23-4ed5-a362-b8bb79a61a88,IPD202101-512-GOL,1,508.06,50.81,32.01,489.26,2024-11-10
LINE000000000034,c07ffe53-62bb-4a4d-b4e7-40e4e823a3a8,MAC202101-512-SPA,1,774.74,38.74,51.52,787.52,2024-11-03
LINE000000000035,52ee26c3-3f95-4f92-88d0-05a913bf6734,IPH202101-128-SPA,1,674.06,33.7,44.83,685.19,2024-09-08
LINE000000000036,9b84e642-e6e3-4476-9e71-aed4703267f4,IPD202101-128-SIL,1,1563.06,0.0,109.41,1672.47,2023-10-22
LINE000000000037,64eaa4a6-3378-44bd-9467-13651d8c060b,AIR202101-STD,1,1822.59,91.13,311.66,2043.12,2020-07-08
LINE000000000038,a7f13909-4ccb-498a-9c03-78b4b25b0562,IPH202101-256-SPA,1,1075.35,0.0,193.56,1268.91,2020-07-21
LINE000000000039,5ac0ba0a-5025-4350-afd3-0dae995c52ff,AIR202101-STD,1,1558.68,77.93,266.53,1747.28,2024-10-18
LINE000000000040,8ac8af35-42fd-4aac-8965-b3aea96300f3,MAC202101-512-GOL,1,299.48,14.97,28.45,312.96,2023-11-24
LINE000000000041,e4fed147-2c11-4d04-977f-e629e960e969,IPD202101-128-SPA,1,1145.53,57.28,108.83,1197.08,2018-11-06
LINE000000000042,73b5f4bd-dfe3-4358-98ac-7ddb9b52aec8,IPD202101-512-GOL,1,1339.02,66.95,127.21,1399.28,2024-03-05
LINE000000000043,faa47523-0512-4516-82cb-81b1d8f61cd2,MAC202101-512-BLU,1,963.42,0.0,67.44,1030.86,2024-02-06
LINE000000000044,787caa69-a155-4a63-93e8-794b3f5525de,IPD202101-256-GOL,1,950.87,95.09,59.9,915.68,2023-12-25
LINE000000000045,c93426ca-279c-4f6a-b3d4-d1a85f1c5994,DSP202101-27inch,1,710.81,0.0,49.76,760.57,2024-08-07
LINE000000000046,f336dcdc-4e31-4a2c-9751-ecb2a7471f7d,IPH202101-128-SIL,1,708.17,35.41,47.09,719.85,2024-11-14
LINE000000000047,a5a8f56e-07b7-4eb3-a08c-957c52b5a0b7,MAC202101-256-SIL,1,1120.42,56.02,106.44,1170.84,2024-09-10
LINE000000000048,74848b2a-2c9d-4c92-ad16-ca549645d8ad,MAC202101-512-SIL,1,1778.36,0.0,124.49,1902.85,2024-11-08
LINE000000000049,0c753880-67a6-44f6-8770-b0c59d62e9e2,IPD202101-512-BLA,1,1890.82,189.08,119.12,1820.86,2024-12-05
LINE000000000050,3ca10904-bdef-48ac-8bee-3853869ed537,DSP202101-32inch,1,1037.84,51.89,69.02,1054.97,2023-11-07
LINE000000000051,dee8c194-056b-48a7-9035-5a646b996513,IPD202101-256-BLA,1,781.69,78.17,49.25,752.77,2017-09-12
LINE000000000052,03b8d030-fdec-4856-b26b-d52398d58f14,IPH202101-256-SPA,1,1656.75,165.68,104.37,1595.44,2024-10-26
LINE000000000053,22f5c629-3a8c-45ab-9709-eb6d0ac0ab9d,IPD202101-512-SIL,1,1434.94,71.75,95.42,1458.61,2024-10-13
LINE000000000054,ece21c44-cd43-42f4-9798-89281eed7b6e,IPH202101-128-BLA,1,578.45,0.0,40.49,618.94,2024-09-09
LINE000000000055,9c374ee0-570c-491e-9834-4f11e34e2607,MAC202101-256-SPA,1,320.33,0.0,22.42,342.75,2022-10-05
LINE000000000056,81f79dde-d60c-4f8c-a405-7073ceb42d8b,IPH202101-512-SIL,1,1278.18,0.0,89.47,1367.65,2019-11-16
LINE000000000057,77c270a3-e308-4252-84f5-651c25ada090,IPH202101-128-BLU,1,1642.67,82.13,109.24,1669.78,2020-10-03
LINE000000000058,e0a4948b-72fa-481b-a01b-88a08da8c263,TV202101-STD,1,608.09,0.0,42.57,650.66,2024-10-28
LINE000000000059,d01e4c58-6980-4b4a-83b7-0af067d28a40,MAC202101-128-SIL,1,1737.74,86.89,115.56,1766.41,2024-09-21
LINE000000000060,57ee2257-d2a2-43d2-8c24-6f719e183bab,MAC202101-128-BLU,1,810.84,81.08,51.08,780.84,2024-11-10
LINE000000000061,f709b7cb-c3db-40d4-9c5c-b79f388fdd7e,DSP202101-27inch,1,1250.49,62.52,83.16,1271.13,2024-10-24
LINE000000000062,4a9f66e6-092c-462f-9753-d9613c420463,IPH202101-256-SPA,1,310.92,15.55,20.68,316.05,2024-10-18
LINE000000000063,b197eb9e-4512-4f21-9c9d-28c36c6fb2fd,MAC202101-512-BLA,1,1463.08,73.15,97.3,1487.23,2024-09-25
LINE000000000064,75363f77-3b44-4def-ae8b-cff51ead4997,IPD202101-512-GOL,1,1993.54,199.35,125.59,1919.78,2024-09-17
LINE000000000065,700a7e72-f6eb-4654-9560-1eefce0f3c77,IPD202101-256-BLA,1,759.4,75.94,47.84,731.3,2016-11-12
LINE000000000066,4398a9dc-e0b6-45b6-a738-b3e0a8482c74,IPH202101-128-SIL,1,1958.55,97.93,130.24,1990.86,2017-10-07
LINE000000000067,90349e7c-0f8b-4bf7-b002-7c337a09a3c8,IPD202101-512-BLU,1,793.68,0.0,79.37,873.05,2017-09-16
LINE000000000068,13049380-4d11-46ad-88e8-d5bb4bd1552e,MAC202101-512-BLA,1,1063.52,106.35,67.0,1024.17,2023-10-05
LINE000000000069,1cadf023-cfde-4803-a6c9-2ab7d3bfc600,IPD202101-512-SIL,1,376.81,37.68,23.74,362.87,2022-09-14
LINE000000000070,149ffc8d-c36a-4e92-b473-cfc1d302400c,MAC202101-512-SIL,1,679.79,0.0,47.59,727.38,2024-09-04
LINE000000000071,bf95a6fa-7629-4da1-88f5-3f05ee204e2e,IPH202101-256-SPA,1,952.55,95.25,60.01,917.31,2023-10-10
LINE000000000072,04f81319-d67d-4e6d-b5fc-deca786ab4d8,IPH202101-128-BLU,1,1859.29,92.96,123.64,1889.97,2017-11-10
LINE000000000073,9cf9adf9-c930-4f8e-968f-daa32b40c7d8,IPD202101-256-BLU,1,571.82,57.18,36.02,550.66,2019-11-18
LINE000000000074,75739c1a-8f1d-47cd-bc6d-73fafb2daf48,IPD202101-256-GOL,1,388.31,38.83,24.46,373.94,2023-12-12
LINE000000000075,2211d801-e8ab-446d-93c1-6c866d2aaefb,MAC202101-256-SPA,1,1585.63,158.56,99.89,1526.96,2022-11-16
LINE000000000076,274ec94b-c639-48a2-8234-6fdef09757fe,DSP202101-32inch,1,1435.68,71.78,95.47,1459.37,2024-11-20
LINE000000000077,5f71754d-15b6-4a74-b34b-5a8543644b45,IPH202101-256-BLA,1,1738.93,0.0,121.73,1860.66,2023-11-23
LINE000000000078,4f5cec40-8d05-41fe-aeb2-5528685a4be8,IPD202101-256-SPA,1,656.61,65.66,41.37,632.32,2022-03-17
LINE000000000079,0a0113ac-bbe6-49fe-8024-8fdd25a1efc9,IPD202101-256-SIL,1,1321.64,132.16,83.26,1272.74,2024-05-31
LINE000000000080,2adb5ab9-301d-43a6-bdc9-e4ae2d2bdbcf,MAC202101-128-BLU,1,464.38,23.22,30.88,472.04,2022-03-29
LINE000000000081,acaf0fe3-432b-446a-89d1-b86276df5bdd,MAC202101-512-BLA,1,1478.54,73.93,98.32,1502.93,2018-04-09
LINE000000000082,d51a401c-d867-482b-bd1e-18fad03dcda3,IPH202101-512-SIL,1,1681.18,168.12,105.91,1618.97,2024-11-04
LINE000000000083,03b1cab7-b6ac-4702-a0d1-9a0808b400df,MAC202101-256-BLU,1,1736.15,173.62,109.38,1671.91,2024-09-09
LINE000000000084,ffcbf0d1-bb2c-401a-8035-219a6426539a,IPH202101-128-BLA,1,698.53,69.85,44.01,672.69,2022-10-16
LINE000000000085,8e63ece5-c1ff-4e48-ab8d-33e909a17567,MAC202101-256-SPA,1,1962.97,98.15,130.54,1995.36,2022-10-04
LINE000000000086,016c988c-e09e-4669-b48b-1f3f0d4cfeb6,MAC202101-512-BLA,1,602.51,30.13,57.24,629.62,2024-11-02
LINE000000000087,8df00004-cb37-45b0-ab01-00057dc38df7,MAC202101-128-GOL,1,922.52,46.13,87.64,964.03,2024-10-25
LINE000000000088,321725c7-62af-40bc-9072-8cf1c7e1f3e2,MAC202101-256-SPA,1,720.99,0.0,72.1,793.09,2022-09-13
LINE000000000089,c5fd65d7-be81-466d-b1b8-eeaa5de386e8,IPH202101-256-BLA,1,919.88,0.0,91.99,1011.87,2023-01-25
LINE000000000090,8f7a18d1-2284-4755-b1a2-be8310123466,IPH202101-128-SPA,1,1799.63,89.98,170.97,1880.62,2024-01-23
LINE000000000091,c8d090bb-f49a-4d7b-b9f8-b01f2246279d,MAC202101-128-BLA,1,1106.71,0.0,110.67,1217.38,2022-09-14
LINE000000000092,7eab53d5-50e1-43e7-b804-f9d981918173,DSP202101-32inch,1,1475.71,73.79,98.13,1500.05,2017-09-16
LINE000000000093,3493ebeb-4aa6-4363-abf6-46b394b8c1dc,IPD202101-512-GOL,1,1245.31,0.0,87.17,1332.48,2016-11-05
LINE000000000094,b8d66298-d188-4d21-8d6b-b230f048098d,IPH202101-256-GOL,1,1530.6,153.06,96.43,1473.97,2015-11-13
LINE000000000095,d0f98214-b614-4f4f-ba1c-68bfa2c3dfb1,MAC202101-256-BLU,1,1442.78,72.14,95.94,1466.58,2020-09-07
LINE000000000096,42d48889-3a6a-447b-953e-906d5cecb8e2,MAC202101-512-SPA,1,1554.45,155.45,97.93,1496.93,2022-02-26
LINE000000000097,3a3eefa2-cac5-4a1a-a38b-442cfbab85f4,DSP202101-27inch,1,1803.51,0.0,126.25,1929.76,2024-05-02
LINE000000000098,a641240f-c6c4-4253-b1bf-3cfe858e8467,IPD202101-256-GOL,1,1821.96,91.1,121.16,1852.02,2022-12-15
LINE000000000099,31bbecbd-6b36-44ac-8540-1591ccb64cde,IPD202101-512-GOL,1,1020.85,0.0,71.46,1092.31,2018-10-09
LINE000000000100,293aba86-9a3a-49a6-b758-486e6640a943,IPH202101-128-SPA,1,978.83,0.0,68.52,1047.35,2021-09-13
LINE000000000101,99ec21b7-a333-4d44-8a89-b53a8c0b9389,MAC202101-256-GOL,1,1415.9,70.8,94.16,1439.26,2024-11-10
LINE000000000102,57cb2f70-71a8-4fca-8661-1f3969202964,WCH202101-41mm,1,573.31,57.33,36.12,552.1,2024-10-16
LINE000000000103,c65a7956-09ae-4717-9207-9307e4e6e51c,IPD202101-256-SIL,1,762.2,0.0,53.35,815.55,2024-11-25
LINE000000000104,b3dd36c1-f7b4-4048-985e-1453e69d4bc6,IPD202101-128-SPA,1,1829.87,182.99,115.28,1762.16,2024-11-13
LINE000000000105,7cfc378a-939e-4006-b8df-ced8e09e0968,AIR202101-STD,1,1066.68,0.0,74.67,1141.35,2024-02-16
LINE000000000106,44bc8d6c-789f-4fd4-b3e8-dac848b56003,IPH202101-128-SPA,1,328.93,0.0,23.03,351.96,2024-11-13
LINE000000000107,42e0e804-2079-4bf6-961d-3718633d7a9a,IPD202101-512-BLU,1,1273.64,0.0,89.15,1362.79,2024-06-03
LINE000000000108,eef2cdce-9ac3-4fb2-8191-b529a0885625,IPD202101-256-BLA,1,1590.74,0.0,111.35,1702.09,2024-01-13
LINE000000000109,ff42034a-4f92-42b2-91d1-438d4e230d0a,MAC202101-256-SPA,1,1377.9,68.9,91.63,1400.63,2024-11-01
LINE000000000110,4a40e737-7085-4913-9722-c7a4630e2aed,IPH202101-512-SIL,1,1567.89,156.79,141.11,1552.21,2024-11-09
LINE000000000111,b1d793de-a424-4c44-8dd8-21f9780af38c,IPH202101-256-GOL,1,1420.48,0.0,142.05,1562.53,2024-11-02
LINE000000000112,2fabe58b-20d7-49f5-be60-1ca2a0259500,MAC202101-256-BLA,1,1990.25,0.0,199.03,2189.28,2024-10-02
LINE000000000113,bdf39d8c-651d-43eb-8b26-531ea51b8cbd,IPH202101-256-GOL,1,1495.26,0.0,269.15,1764.41,2022-02-05
LINE000000000114,b56f2aba-8de2-430c-bbbe-1d76bd5b8ced,IPH202101-512-SPA,1,1042.81,0.0,187.71,1230.52,2024-05-27
LINE000000000115,51bb9f6d-7cbe-464b-a56a-06bcf50ab889,IPD202101-256-BLA,1,1393.28,139.33,225.71,1479.66,2022-10-15
LINE000000000116,2059ffeb-fa59-4732-8160-83b38ecbe1d7,MAC202101-512-BLA,1,828.12,0.0,57.97,886.09,2016-09-09
LINE000000000117,67f0a1fe-da6a-4aaa-9570-9b1684882865,IPD202101-256-GOL,1,1237.59,61.88,82.3,1258.01,2021-04-22
LINE000000000118,ed80c544-2fef-4f9e-bdee-dbfa717dee4f,IPD202101-128-BLA,1,890.5,44.53,59.22,905.19,2023-10-07
LINE000000000119,1b408b61-59c5-4dc7-b85a-02ebf037f34f,IPD202101-256-BLA,1,945.41,94.54,59.56,910.43,2024-06-25
LINE000000000120,5e14e4e3-bf98-4a91-a386-6b451ec2c24d,DSP202101-27inch,1,915.89,0.0,64.11,980.0,2024-01-10
LINE000000000121,ee7b50ba-e416-4697-99f3-bef3944dcb0d,IPH202101-256-SPA,1,1235.08,61.75,82.13,1255.46,2023-08-27
LINE000000000122,f58e278b-1856-4b08-b06b-be10d1f68e1f,IPH202101-512-SIL,1,550.39,27.52,36.6,559.47,2023-08-05
LINE000000000123,9d695093-73e9-4939-9faf-a3bf1be0dd1f,IPH202101-128-BLA,1,1634.79,163.48,102.99,1574.3,2022-09-18
LINE000000000124,c125b3d0-97d2-4a63-85a5-d06648972463,IPH202101-256-SPA,1,448.71,0.0,31.41,480.12,2024-10-21
LINE000000000125,041937ab-1cbf-4f96-b882-a9eef499b7e7,MAC202101-512-SIL,1,1079.64,107.96,97.17,1068.85,2023-06-28
LINE000000000126,378330d4-1a94-4f02-bf4d-92482358478c,IPD202101-512-SIL,1,1825.35,91.27,173.41,1907.49,2024-06-24
LINE000000000127,e128baa6-8bf0-4ec2-bf54-7a4b7e80759d,IPD202101-128-SIL,1,660.23,33.01,62.72,689.94,2024-07-12
LINE000000000128,cef5332d-5fa7-49ea-938a-37cbc227fc73,IPD202101-128-GOL,1,685.57,34.28,65.13,716.42,2018-12-29
LINE000000000129,b16f1a22-405e-47fb-b070-b23e3a869c4c,IPH202101-512-GOL,1,1873.16,187.32,168.58,1854.42,2024-10-13
LINE000000000130,755c75b9-9371-4b16-863b-b43c55506198,DSP202101-32inch,1,1848.52,184.85,116.46,1780.13,2023-10-21
LINE000000000131,5dbe2feb-517c-4f20-b86c-8a3fbecb6758,IPD202101-512-GOL,1,1137.36,0.0,204.72,1342.08,2019-01-02
LINE000000000132,da31ecc6-f458-4ab3-b042-e284031b3b89,WCH202101-41mm,1,1809.57,180.96,293.15,1921.76,2018-11-11
LINE000000000133,5cce9084-7104-4913-862f-883cf073d7b8,IPH202101-256-SIL,1,1102.55,55.13,188.54,1235.96,2020-11-10
LINE000000000134,bc7263ae-7196-4142-90b9-4c201b407058,IPD202101-512-BLU,1,769.58,0.0,53.87,823.45,2016-10-07
LINE000000000135,708028f2-d2cd-43b2-9cd7-c26605a7e23e,IPD202101-512-GOL,1,1068.06,53.4,71.03,1085.69,2020-05-04
LINE000000000136,db8d74a3-77c5-4adc-8afc-e81024de936b,HMP202101-STD,1,1683.62,84.18,111.96,1711.4,2024-11-01
LINE000000000137,bb0a41dd-ccee-4569-9315-d9257f75eee9,MAC202101-512-GOL,1,618.25,30.91,41.11,628.45,2024-08-01
LINE000000000138,dfbca29f-68a6-43e8-82eb-5bcfee23504d,IPH202101-512-BLU,1,1529.3,152.93,247.75,1624.12,2023-09-17
LINE000000000139,d0fdfe74-fead-4b4c-a9b4-71ea8854e772,IPD202101-512-BLU,1,932.79,93.28,58.77,898.28,2024-08-29
LINE000000000140,e4bcf964-f3b6-44b0-b256-d6a7db90cba9,IPD202101-128-SPA,1,1869.49,93.47,124.32,1900.34,2022-11-05
LINE000000000141,7aeef8e6-1e32-4863-94c5-afe9531ec055,IPH202101-256-BLA,1,1648.58,164.86,103.86,1587.58,2021-09-06
LINE000000000142,f41d39cf-bc56-42d3-a9bf-a8fd17e76854,IPD202101-256-GOL,1,1415.52,141.55,89.18,1363.15,2023-04-08
LINE000000000143,00fddd35-d483-4ef4-af1f-8978886e9df2,MAC202101-256-SIL,1,1107.86,110.79,69.79,1066.86,2024-10-23
LINE000000000144,c993ddb0-9be3-439b-8ba4-c8259379abd2,IPH202101-128-SPA,1,1902.7,0.0,133.19,2035.89,2019-11-04
LINE000000000145,a80801d8-99ec-443e-9740-8f87e02b116a,IPH202101-512-GOL,1,1657.12,0.0,116.0,1773.12,2023-08-16
LINE000000000146,e86b6c65-2302-40cb-8f03-b8c0be23070d,MAC202101-256-GOL,1,1061.16,0.0,74.28,1135.44,2020-03-03
LINE000000000147,60fe37e3-e7c0-4c1c-913d-85803ebffd61,IPH202101-128-GOL,1,1997.06,99.85,132.8,2030.01,2022-06-26
LINE000000000148,730893f0-1d96-4c61-90f8-1208b1f80ea8,IPH202101-256-GOL,1,1812.32,181.23,114.18,1745.27,2019-10-18
LINE000000000149,a7935dce-777b-4acb-bf42-b12610b97d55,IPH202101-256-SPA,1,1723.25,86.16,163.71,1800.8,2024-10-27
LINE000000000150,35b7e068-e3a3-4b76-b0c4-33361ce47880,IPD202101-256-GOL,1,995.72,49.79,66.22,1012.15,2023-12-17
LINE000000000151,281618b2-e404-4068-8861-f4fdf362404e,MAC202101-256-BLA,1,1035.8,0.0,72.51,1108.31,2021-12-16
LINE000000000152,77dc6c83-61dc-4167-a6d5-6362ad43846e,IPH202101-512-BLU,1,1613.58,0.0,290.44,1904.02,2023-10-05
LINE000000000153,836632a7-7e84-45aa-8bfa-533486070bdc,IPD202101-128-SPA,1,806.6,0.0,145.19,951.79,2024-10-08
LINE000000000154,e4cd0202-282e-425e-a63b-7783dedfb437,IPD202101-512-GOL,1,1570.31,157.03,254.39,1667.67,2024-05-11
LINE000000000155,07badec6-19ac-4a7b-af65-134da23b05ca,IPH202101-512-SIL,1,1097.29,54.86,72.97,1115.4,2023-06-01
LINE000000000156,38fb214f-9744-43a6-8499-ed7f7a6ed285,MAC202101-128-BLU,1,1760.88,0.0,123.26,1884.14,2023-12-03
LINE000000000157,c52775a1-7213-4e88-be37-d56e2041c18c,MAC202101-256-SIL,1,355.92,35.59,22.42,342.75,2022-09-07
LINE000000000158,ffa7d3da-8842-4cc6-85f7-e3b8cef1239b,IPH202101-128-SPA,1,1083.38,54.17,72.04,1101.25,2024-11-03
LINE000000000159,a2fb2259-51b2-4f87-9085-a86e03174528,MAC202101-128-BLA,1,1475.13,73.76,98.1,1499.47,2024-02-20
LINE000000000160,6319d729-47ef-4150-9275-6dc317ed3242,IPD202101-256-SIL,1,1635.62,81.78,108.77,1662.61,2023-11-26
LINE000000000161,13656810-825a-4226-b329-310d85b24bf0,IPH202101-256-BLA,1,1889.68,94.48,125.66,1920.86,2023-09-26
LINE000000000162,77bceb3e-8b87-4fb0-9ea8-9d84c8444667,MAC202101-256-BLA,1,1011.51,50.58,67.27,1028.2,2023-04-13
LINE000000000163,3c9902a3-506c-4f33-8051-5b60207570a8,IPH202101-128-SPA,1,1735.38,86.77,115.4,1764.01,2022-09-24
LINE000000000164,16fc2dfa-3bc3-4a8e-9307-a69d03943573,IPH202101-256-BLA,1,623.39,62.34,39.27,600.32,2023-11-11
LINE000000000165,65e0402a-669f-4c29-ba82-bb9ed8fa8678,DSP202101-27inch,1,1060.51,53.03,70.52,1078.0,2023-09-19
LINE000000000166,c0739bf3-7c50-4dea-a1e1-26a822d2be40,IPD202101-256-BLA,1,1026.36,0.0,71.85,1098.21,2024-09-18
LINE000000000167,0dccf2f3-9c68-4121-8729-15d83cc25127,MAC202101-128-BLU,1,510.74,51.07,32.18,491.85,2021-11-07
LINE000000000168,4b10f692-2584-46b0-8466-eb44b4c27296,IPH202101-128-BLA,1,1346.46,67.32,89.54,1368.68,2024-12-20
LINE000000000169,4f6f1416-a3a3-4409-9f74-20dabdc7ebd2,AIR202101-STD,1,1802.55,0.0,126.18,1928.73,2024-09-03
LINE000000000170,04d960ce-b662-43c7-9c56-a36d4065045e,IPD202101-512-BLA,1,352.49,35.25,22.21,339.45,2024-12-04
LINE000000000171,6799d383-a16b-4458-8e81-21e00286a1b9,MAC202101-128-SIL,1,741.03,37.05,49.28,753.26,2024-09-07
LINE000000000172,7868c139-ee99-4570-a810-3490e21bdb8e,IPH202101-512-BLU,1,1352.68,0.0,94.69,1447.37,2021-12-11
LINE000000000173,30c60300-e252-4ed4-bb6a-e3272629831d,WCH202101-45mm,1,1760.26,176.03,158.42,1742.65,2015-07-28
LINE000000000174,0ec2d3b1-8c0f-4e9f-8943-2bd4dd7563f4,MAC202101-512-SIL,1,569.16,0.0,56.92,626.08,2015-10-04
LINE000000000175,0d0fba17-e026-44d8-a473-483de4960a2b,IPD202101-256-SPA,1,795.2,0.0,55.66,850.86,2024-10-13
LINE000000000176,17ac5b5a-42ba-4337-85ea-35b1cdefaa84,IPH202101-128-GOL,1,1630.2,81.51,108.41,1657.1,2024-10-15
LINE000000000177,6a1062ec-0875-4029-bad8-e668aa3f9883,IPH202101-512-GOL,1,1204.37,120.44,75.88,1159.81,2024-10-01
LINE000000000178,3b169c6c-35e9-4d52-82a5-fa0cd79f954f,MAC202101-256-SIL,1,723.01,0.0,50.61,773.62,2019-11-10
LINE000000000179,0e5a8d99-05b2-4b4d-aeb6-c8dc656e450c,IPH202101-256-BLU,1,653.55,0.0,45.75,699.3,2020-05-22
LINE000000000180,2cf2860b-6d9f-46f6-b43b-6705714be69c,IPH202101-256-SPA,1,1422.58,142.26,89.62,1369.94,2016-02-23
LINE000000000181,b5598102-e23d-4df5-8784-9b13da6147b2,IPD202101-256-SPA,1,946.13,47.31,62.92,961.74,2022-07-29
LINE000000000182,5e0f4c92-66e3-4577-9390-9c5adc96dee4,IPD202101-256-GOL,1,1431.0,71.55,95.16,1454.61,2018-10-31
LINE000000000183,663a4ce2-1cc7-41c1-8abb-6d6b79235c36,IPH202101-512-BLA,1,1600.41,160.04,100.83,1541.2,2023-07-11
LINE000000000184,5aede1d3-cf79-462c-a265-aa2cc8c7fc52,ACC202101-STD,2,1650.36,330.07,207.95,3178.6,2019-10-12
LINE000000000185,30dda79f-e955-4cbc-968c-6f919296f0aa,DSP202101-32inch,1,804.99,80.5,50.71,775.2,2023-03-20
LINE000000000186,dadad614-106c-4554-afa7-88d893d75995,IPH202101-256-GOL,1,836.98,0.0,58.59,895.57,2019-11-18
LINE000000000187,c74a1ef5-b296-45df-82a4-cf624141bdba,MAC202101-512-BLA,1,1288.48,64.42,85.68,1309.74,2019-02-06
LINE000000000188,ac1ae099-5120-4a96-9945-26d5a87ab9d7,IPH202101-512-GOL,1,1265.81,126.58,79.75,1218.98,2022-01-16
LINE000000000189,41447c12-ab53-4907-85ec-43f75298e8b8,WCH202101-45mm,1,1957.79,195.78,123.34,1885.35,2024-01-22
LINE000000000190,e436aa89-1e13-4dc0-b53a-ec96b22ab448,IPD202101-512-GOL,1,1805.61,90.28,120.07,1835.4,2023-05-09
